correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
"Tex Willer";;;;;"(Letterina T) il personaggio che ha dato fama a Gian Luigi Bonelli";;;
Tintoretto;;;;;"(Letterina T) il pittore che con Il paradiso detiene il record del dipinto su tela piu' grande del mondo";;;
terra;;;;;"(Letterina T) il significato della radice greca 'geo'";;;
"Tre soldi";;;;;"(Letterina T) il valore di un'Opera di Bertold Brecht";;;
Tennessee;;;;;"(Letterina T) il Williams drammaturgo statunitense che si ispirava alla vita del profondo sud del suo paese";;;
Trinidad;;;;;"(letterina T) l'isola che e' unita a Tobago";;;
tognazzi;;;;;"(Letterina T) l'Ugo che e' caduto piu' volte ne Il vizietto";;;
Thatcher;;;;;"(Letterina T) la 'lady di ferro' che fu primo ministro inglese";;;
Tenera;;;;;"(Letterina T) la 'notte' di Francis Scott Fitgerald";;;
Tequila;;;;;"(Letterina T) la bevanda nazionale messicana";;;
Transiberiana;;;;;"(letterina T) la linea ferroviaria che ha 87 stazioni su un percorso di 7.500 km.";;;
Tedesca;;;;;"(Letterina T) la lingua nella quale e' pubblicata la rivista Stern";;;
Tedesco;;;;;"(Letterina T) la lingua nella quale e' pubblicata la rivista Stern";;;
Triumph;;;;;"(letterina T) la moto condotta da Marlon Brando ne Il selvaggio";;;
Tunisia;;;;;"(Letterina T) la nazione in cui si possono visitare le rovine di Cartagine";;;
"Trafalgar Square";;;;;"(Letterina T) la piazza che e' il centro geografico di Londra";;;
Temple;;;;;"(Letterina T) la Shirley che a 10 anni aveva gia' guadagnato 1 milione di dollari";;;
torino;;;;;"(letterina T) la squadra di calcio distrutta nella tragedia di Superga del 1947";;;
Telematch;;;;;"(Letterina T) La trasmissione televisiva con la quale Enzo Tortora inizio' la sua carriera televisiva";;;
Tropicale;;;;;"(Letterina T) la zona che si trova tra il tropico del Cancro e quello del Capricorno";;;
tigna;;;;;"(Letterina T) Malattia del cuoio capelluto determinata da un fungo parassita";;;
Toto';;;;;"(Letterina T) parla con gli uccelli in un film di Pasolini";;;
Tiberio;;;;;"(letterina T) uno dei Gracchi";;;
Ubiquita';;;;;"(Letterina U) Facolta' di poter essere in piu' luoghi nello stesso tempo";;;
Ulisse;;;;;"(Letterina U) fu trattenuto per 10 anni dalla ninfa Calipso";;;
Ulster;;;;;"(Letterina U) il nome dell'Irlanda del Nord";;;
Ungheria;;;;;"(letterina U) la nazione che ha una capitale nata dalla fusione tra Buda e Pest";;;
Ungheria;;;;;"(Letterina U) nel 1956 fu vittima dell'invasione sovietica";;;
Ugola;;;;;"(letterina U) pende al di sopra della lingua";;;
Vagabondo;;;;;"(Letterina V) accompagna Lilli in un film della Disney";;;
Verdi;;;;;"(Letterina V) compose l'opera comica Un giorno al regno";;;
Vaghe;;;;;"(Letterina V) cosi' erano 'le stelle dell'Orsa' del Leopardi";;;
vinaccioli;;;;;"(letterina V) i semi dell'uva";;;
Voltaire;;;;;"(letterina V) il nome d'arte con il quale e' conosciuto il filosofo Francois Marie Arouet";;;
Valentino;;;;;"(letterina V) il Rodolfo che e' stato 'sceicco' e 'figlio dello sceicco'";;;
Valentino;;;;;"(letterina V) il Rodolfo irresistibile attore italiano che mori' a 31 anni nel 1925 a Hollywood";;;
Valentino;;;;;"(letterina V) il Rodolfo reso famoso da I quattro cavalieri dell'apocalisse";;;
Valentino;;;;;"(Letterina V) il Santo Patrono di Terni";;;
Vamba;;;;;"(Letterina V) L'autore de Il giornalino di Gian Burrasca";;;
"Via col vento";;;;;"(Letterina V) l'unico romanzo di Margaret Mitchell";;;
Varsavia;;;;;"(Letterina V) la capitale europea sulle rive della Vistola";;;
Venezia;;;;;"(Letterina V) la citta' che e' soggetto prediletto del Canaletto";;;
Venezia;;;;;"(Letterina V) la citta' con il maggior numero di ponti";;;
Venezia;;;;;"(Letterina V) la citta' con il Ponte dei Sospiri";;;
Vienna;;;;;"(letterina V) la citta' in cui si puo' andare a spasso nei giardini del Belvedere";;;
Viterbo;;;;;"(Letterina V) la citta' nella quale furono murati i cardinali";;;
Venezia;;;;;"(letterina V) la piazza di Roma dove si trova il chilometro zero";;;
Violino;;;;;"(Letterina V) lo strumento musicale suonato da Mussolini";;;
Varani;;;;;"(Letterina V) sono chiamati 'draghi di Komodo'";;;
Woodstock;;;;;"(Letterina W) il festival pop in cui si trascorsero tre giorni d'amore, di pace e di musica";;;
Wayne;;;;;"(Letterina W) il John che sullo schermo e' stato Un uomo tranquillo";;;
Weissmuller;;;;;"(Letterina W) il Johnny attore che fu il primo a nuotare i 100 metri stile libero in meno di un minuto";;;
"Washington Post";;;;;"(Letterina W) il quotidiano americano che ha divulgato lo scandalo Watergate";;;
Wolframio;;;;;"(Letterina W) l'altro nome dell'elemento chimico chiamato anche tungsteno";;;
Woodstock;;;;;"(Letterina W) L'uccellino amico di Snoopy";;;
Wellington;;;;;"(Letterina W) la capitale piu' a sud del mondo";;;
Watson;;;;;"(Letterina W) racconta le avventure di Sherlock Holmes";;;
Waterloo;;;;;"(Letterina W) vi avvenne l'ultima sconfitta di Napoleone";;;
Xeno;;;;;"(Letterina X) Elemento chimico";;;
Yeti;;;;;"(letterina Y) e' chiamato familiarmente Abominevole uomo delle nevi";;;
Yukon;;;;;"(Letterina Y) Fiume del Canada nord-occidentale";;;
Yentl;;;;;"(Letterina Y) il film con il quale Barbra Streisand ha debuttato come regista";;;
Zappa;;;;;"(letterina Z) Gino padre della contabilita' moderna";;;
Zeffirelli;;;;;"(Letterina Z) il Franco che ha realizzato il kolossal televisivo sulla vita di Gesu' Cristo";;;
Zurli';;;;;"(Letterina Z) il mago interpretato in tv da Cino Tortorella";;;
Zenit;;;;;"(Letterina Z) il punto del cielo situato sulla verticale dell'osservatore";;;
Zwingli;;;;;"(Letterina Z) L'Ulrico che con Lutero fu l'altro protagonista della riforma";;;
